rcvTime,sendTime,sender_id,sender_alias,messageID,attacker,receiver_pos,receiver_pos_noise,receiver_spd,receiver_spd_noise,receiver_acl,receiver_acl_noise,receiver_hed,receiver_hed_noise,receiver_driversProfile,sender_pos,sender_pos_noise,sender_spd,sender_spd_noise,sender_acl,sender_acl_noise,sender_hed,sender_hed_noise,sender_driversProfile,sender_distance_to_road_edge,source_file
12323367860756,12323366161741,veh_3954,8702815994,86665,0,"213902.40128569864,450463.3779867271,0.0","4.62652127511739,-0.5265710120986999,0.0",53.89067984300218,-0.002174313967614694,0.4382407008071322,-3.948890455840591e-05,328.919700839182,0.0003324722590756315,AGGRESSIVE,"213639.19986701338,450640.13520353957,0.0","0.5143894207842677,0.708004794046101,0.0",13.64549962981813,-0.0009346002426688926,0.7406313959741961,0.0,300.36294591641746,-5.083289965610653,NORMAL,2.724902399872243,veh_4022.json
12332367216849,12332366161741,veh_3954,8702815994,86824,0,"213845.03929709736,450799.93926073366,0.0","4.627152747925734,-0.5086101666893832,0.0",54.814296093048604,-0.0022115788846477358,0.1606575387601216,-1.449734425115091e-05,318.54013484987604,0.0003031411464010702,AGGRESSIVE,"213537.15454366626,450707.1089343095,0.0","0.5363679703382035,0.7024675525485751,0.0",12.975065319270053,-0.0008886812154198509,-0.9833321926416829,0.0,293.03338703741855,-5.4357500903024265,NORMAL,2.7310839760375263,veh_4022.json
12333367727165,12333366161741,veh_3954,8702815994,86842,0,"213808.22248967836,450839.59002057015,0.0","4.829259916666596,-0.5227297854956469,0.0",54.75263160179341,-0.0022090909226264444,-0.06165644590859514,5.557384576919879e-06,314.98050004668045,0.00030501615032178466,AGGRESSIVE,"213525.11092050516,450713.22309303115,0.0","0.5445791087524876,0.7225266830740819,0.0",13.504418981786054,-0.0009249374225852591,0.5293174063088362,0.0,291.6682728892462,-5.155508638248424,NORMAL,2.709477976493657,veh_4022.json
12334367242365,12334366161741,veh_3954,8702815994,86860,0,"213766.53387942692,450874.5962520514,0.0","4.731443646100223,-0.5488206918292262,0.0",54.82358332612091,-0.002211953594347449,0.07094246034656691,-6.401309212271992e-06,305.0455481652489,0.00030285975419472197,AGGRESSIVE,"213512.82979594078,450719.4425826782,0.0","0.5274528451889998,0.7406344347397297,0.0",13.742154706999983,-0.0009412202903806843,0.2377194423461333,0.0,291.78938412514503,-5.0343974025001605,NORMAL,2.7010468361887368,veh_4022.json
12335368013590,12335366161741,veh_3954,8702815994,86878,0,"213721.1838175261,450904.5155730155,0.0","4.809736775213445,-0.5435962851468291,0.0",54.880936775515785,-0.002214267619827126,0.05734596981340761,-5.165555986905402e-06,302.5123984077992,0.0003011277903704746,AGGRESSIVE,"213501.0132669807,450725.164749053,0.0","0.5440311640101672,0.7238035551656815,0.0",13.15086591661528,-0.000900722055652281,-0.5912482921499755,0.0,290.5044173862574,-5.341030791688615,NORMAL,2.71142843167686,veh_4022.json
12336367935551,12336366161741,veh_3954,8702815994,86896,0,"213674.82265832915,450934.719676946,0.0","4.987760904432487,-0.525327633621202,0.0",55.464262576246924,-0.0022378029220320172,0.5832497188582163,-5.2546570717386946e-05,303.36576053243505,0.00028406540212884727,AGGRESSIVE,"213488.3731231117,450731.27578875935,0.0","0.5427142369220197,0.7126226048740018,0.0",14.042964410433946,-0.0009618231872661198,0.8920373926870528,0.0,290.9602252129981,-4.885222964947909,NORMAL,2.7220650958055366,veh_4022.json
12337352246338,12337350911722,veh_3913,8177010316,86913,0,"213628.4914056353,450964.73660062556,0.0","4.601652382651218,-0.5041280783219617,0.0",54.8465920164948,-0.0022128819203075523,-0.6175879786013401,5.76601490561024e-05,302.69996166541574,0.0003021637426692915,AGGRESSIVE,"213369.2404330262,450795.4832363784,0.0","1.2445598483586409,-4.987409566051192,0.0",9.790929347295078,-0.0006120275967891331,-0.519278027350083,0.0,313.9823075112538,-0.7446717803144915,NORMAL,6.266408797180169,veh_4022.json
12337367135188,12337366161741,veh_3954,8702815994,86914,0,"213628.58916240785,450964.7705486805,0.0","4.6994091551986,-0.4701800233745678,0.0",54.8465920164948,-0.0022128819203075523,-0.6176456387503961,0.0,302.69996166541574,0.0003021637426692915,AGGRESSIVE,"213475.71946882905,450737.39690182614,0.0","0.5627734759752963,0.6946160305315305,0.0",14.081726789330206,-0.0009644780793323093,0.03875972400419414,0.0,290.97912355474233,-4.866324623949335,NORMAL,2.7295258038268715,veh_4022.json
12338352645412,12338350911722,veh_3913,8177010316,86931,0,"213589.85196759342,451001.85565518355,0.0","4.793600976929967,-0.4844344233465087,0.0",54.718417545257566,-0.0022077104965276817,-0.12815734563939316,1.1954174064222098e-05,320.16865389374703,0.0003060614793532464,AGGRESSIVE,"213362.21100285987,450802.856435733,0.0","1.2683972568369608,-4.8413322588052194,0.0",10.101164964791549,-0.0006314203176103206,0.31021622477564925,0.0,315.59515140889494,-0.7219254909874411,NORMAL,6.023296211322911,veh_4022.json
12338367553646,12338366161741,veh_3954,8702815994,86932,0,"213589.76776894386,451001.8246092139,0.0","4.709402327373884,-0.5154803929374064,0.0",54.718417545257566,-0.0022077104965276817,-0.12816929981345737,0.0,320.16865389374703,0.0003060614793532464,AGGRESSIVE,"213463.7330033209,450743.00859676953,0.0","0.5192548957593763,0.7094200465898637,0.0",13.189397601051075,-0.000903361147118531,-0.8922680713469173,0.0,289.3850007017309,-5.32049190253045,NORMAL,2.738489766376084,veh_4022.json
