sender,receiver,scenario,attack_type,sendTime,rcvTime,pos_x,pos_y,speed,acceleration,heading,is_attack,attack_label,speed_kmh,risk_level,message_type
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12323366161741,12323367860756,213639.19986701338,450640.13520353957,13.64549962981813,0.7406313959741961,300.36294591641746,0,Normal,49.12379866734527,Bajo,Mensaje normal
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12332366161741,12332367216849,213537.15454366626,450707.1089343095,12.975065319270053,-0.9833321926416829,293.03338703741855,0,Normal,46.71023514937219,Bajo,Mensaje normal
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12333366161741,12333367727165,213525.11092050516,450713.22309303115,13.504418981786054,0.5293174063088362,291.6682728892462,0,Normal,48.6159083344298,Bajo,Mensaje normal
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12334366161741,12334367242365,213512.82979594078,450719.4425826782,13.742154706999983,0.2377194423461333,291.78938412514503,0,Normal,49.47175694519994,Bajo,Mensaje normal
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12335366161741,12335368013590,213501.0132669807,450725.164749053,13.15086591661528,-0.5912482921499755,290.5044173862574,0,Normal,47.343117299815006,Bajo,Mensaje normal
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12336366161741,12336367935551,213488.3731231117,450731.27578875935,14.042964410433946,0.8920373926870528,290.9602252129981,0,Normal,50.55467187756221,Bajo,Mensaje normal
veh_3913,veh_4022,InTAS_urban_2,randomPositionOffset,12337350911722,12337352246338,213369.2404330262,450795.4832363784,9.790929347295078,-0.519278027350083,313.9823075112538,0,Normal,35.24734565026228,Bajo,Mensaje normal
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12337366161741,12337367135188,213475.71946882905,450737.39690182614,14.081726789330206,0.03875972400419414,290.97912355474233,0,Normal,50.69421644158874,Bajo,Mensaje normal
veh_3913,veh_4022,InTAS_urban_2,randomPositionOffset,12338350911722,12338352645412,213362.21100285987,450802.856435733,10.101164964791549,0.31021622477564925,315.59515140889494,0,Normal,36.364193873249576,Bajo,Mensaje normal
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12338366161741,12338367553646,213463.7330033209,450743.00859676953,13.189397601051075,-0.8922680713469173,289.3850007017309,0,Normal,47.48183136378387,Bajo,Mensaje normal
veh_3913,veh_4022,InTAS_urban_2,randomPositionOffset,12339350911722,12339352404008,213355.3370082131,450810.00981882965,9.84645309327707,-0.2546959495637555,315.5765281019815,0,Normal,35.44723113579745,Bajo,Mensaje normal
veh_3954,veh_4022,InTAS_urban_2,randomPositionOffset,12339366161741,12339367126579,213451.31709108767,450748.7806065091,13.699231511722616,0.5097989914007499,289.64944100211613,0,Normal,49.31723344220142,Bajo,Mensaje normal
veh_3913,veh_4022,InTAS_urban_2,randomPositionOffset,12340350911722,12340352193050,213348.1375955337,450817.2282905865,10.410430218154106,0.5639418708626174,315.6171349918919,0,Normal,37.477548785354784,Bajo,Mensaje normal
veh_3947,veh_4022,InTAS_urban_2,randomPositionOffset,12341078722497,12341079796247,213172.3517999188,450998.8194681216,10.574958686926717,0.23276346258353442,136.2975802124248,0,Normal,38.069851272936184,Bajo,Mensaje normal
